transaction_real_price,city,exclusive_use_area,floor,total_parking_capacity_in_site,total_household_count_in_sites,apartment_building_count_in_sites,supply_area,total_household_count_of_area_type,room_count,bathroom_count,heat_fuel_cogeneration,heat_fuel_gas,heat_type_central,heat_type_district,heat_type_individual,front_door_structure_corridor,front_door_structure_mixed,front_door_structure_stairway
228200000,0,84.98100000000002,16,961.0,623,4,106.48,109,3.0,2.0,0,1,0,0,1,0,0,1
410400000,0,131.9004,24,2733.0,1598,19,166.28,164,3.0,2.0,0,1,0,0,1,0,0,1
900000000,1,150.8,12,1081.0,445,2,191.62,18,3.0,2.0,1,0,0,0,1,0,0,1
230000000,0,70.3067,5,916.0,559,5,98.13,32,3.0,2.0,0,1,0,0,1,0,0,1
515000000,1,114.47,17,832.0,829,10,141.86,199,4.0,2.0,0,1,0,0,1,0,0,1
285000000,1,49.5,3,619.0,1556,12,66.29,450,3.0,1.0,1,0,0,1,0,1,0,0
124000000,0,84.945,2,219.0,447,5,101.2,303,3.0,2.0,0,1,0,0,1,0,0,1
165000000,1,44.89,12,840.0,840,5,59.04,150,2.0,1.0,0,1,1,0,0,0,0,1
1150000000,1,76.5,15,3930.0,3930,30,112.39,1170,3.0,1.0,1,0,0,1,0,1,0,0
408500000,1,59.76,8,1349.0,1150,14,79.79,240,2.0,1.0,0,1,0,0,1,0,0,1
260000000,1,84.91799999999998,6,491.0,333,7,115.17,191,3.0,2.0,0,1,0,0,1,0,0,1
298000000,0,84.975,17,808.0,710,9,107.58,150,3.0,2.0,0,1,0,0,1,0,0,1
540000000,1,84.46,9,912.0,912,8,107.46,72,3.0,1.0,1,0,0,0,1,1,0,0
117000000,0,49.94,11,326.0,1080,7,69.1,360,2.0,1.0,0,1,0,0,1,1,0,0
229000000,0,154.91,21,1152.0,998,9,190.26,46,4.0,2.0,0,1,0,0,1,0,0,1
300000000,1,59.85,11,351.0,339,5,79.13,16,3.0,1.0,0,1,0,0,1,0,0,1
289000000,1,60.06,15,1425.0,998,10,76.88,538,2.0,1.0,0,1,0,0,1,1,0,0
420000000,0,197.926,4,1263.0,916,14,231.58,50,5.0,2.0,0,1,0,0,1,0,0,1
79000000,0,59.84,11,375.0,988,6,73.97,598,2.0,1.0,0,1,0,0,1,0,0,1
265000000,1,51.48,2,2455.0,3930,32,72.81,1050,2.0,1.0,1,0,0,1,0,1,0,0
161000000,1,47.6,4,400.0,485,11,62.79,150,2.0,1.0,0,1,0,0,1,0,0,1
583000000,0,84.6389,4,4599.0,2752,14,113.65,772,3.0,2.0,0,1,0,0,1,0,0,1
920000000,1,136.325,4,4494.0,4494,56,158.84,1416,4.0,2.0,1,0,0,1,0,0,0,1
364500000,0,84.6389,20,1405.0,998,6,115.1,336,3.0,2.0,0,1,0,0,1,0,0,1
335000000,1,51.57,3,729.0,405,3,69.25,120,2.0,1.0,0,1,0,0,1,1,0,0
157500000,0,59.9666,19,402.0,392,4,81.58,169,3.0,2.0,0,1,0,0,1,0,0,1
280000000,1,59.88,10,1352.0,1352,15,79.43,552,3.0,1.0,1,0,0,1,0,0,0,1
184000000,0,84.986,8,166.0,163,3,112.78,149,3.0,2.0,0,1,0,0,1,0,0,1
393000000,1,49.64,12,1100.0,688,6,67.33,182,2.0,1.0,0,1,0,0,1,1,0,0
310000000,1,84.6,9,226.0,182,3,111.77,56,3.0,2.0,0,1,0,0,1,0,0,1
182000000,0,40.07,4,1000.0,812,18,45.82,232,2.0,1.0,0,1,0,0,1,0,0,1
488000000,1,84.99,4,1992.0,1601,14,110.14,718,3.0,2.0,0,1,0,0,1,0,0,1
385000000,0,110.9992,19,422.0,358,3,145.7,30,3.0,2.0,0,1,0,0,1,0,0,1
798000000,0,154.28,40,3287.0,1360,5,193.98,98,3.0,2.0,1,0,1,0,0,0,0,1
174500000,0,59.72,15,431.0,654,4,77.1,344,3.0,1.0,0,1,0,0,1,0,0,1
430000000,1,59.96,8,344.0,329,2,82.65,83,2.0,1.0,0,1,0,0,1,1,0,0
323000000,1,42.93,8,2300.0,2400,18,59.93,270,2.0,1.0,0,1,1,0,0,1,0,0
393000000,1,59.78,23,799.0,669,9,78.82,92,3.0,2.0,0,1,0,0,1,0,0,1
260000000,1,59.79,10,819.0,772,2,81.74,271,2.0,1.0,0,1,0,0,1,1,0,0
388000000,0,84.965,19,3958.0,2947,29,105.89,1464,3.0,2.0,0,1,0,0,1,0,0,1
238500000,0,84.93,26,1351.0,1127,11,109.09,130,3.0,2.0,0,1,0,0,1,0,0,1
355000000,0,126.3993,16,2675.0,1852,18,154.57,152,4.0,2.0,0,1,0,0,1,0,0,1
395000000,1,84.354,14,230.0,200,3,106.78,73,3.0,2.0,0,1,0,0,1,0,0,1
370000000,1,84.8437,4,166.0,157,3,106.94,79,3.0,2.0,0,1,0,0,1,0,0,1
89000000,0,43.9,2,90.0,500,14,51.4,400,2.0,1.0,0,1,0,0,1,0,0,1
173000000,1,43.92,3,338.0,338,4,64.52,112,2.0,1.0,0,1,0,0,1,1,0,0
490000000,1,84.88,7,535.0,649,6,109.71,137,3.0,2.0,0,1,0,0,1,0,0,1
368000000,1,59.57,6,2504.0,1983,26,80.22,828,3.0,1.0,0,1,0,0,1,0,0,1
620000000,1,134.99,11,2776.0,2298,27,163.51,346,4.0,2.0,0,1,0,0,1,0,0,1
349000000,1,84.979,5,116.0,112,2,106.65,47,3.0,2.0,0,1,0,0,1,0,0,1
280000000,1,84.99,1,708.0,823,5,102.93,339,3.0,2.0,0,1,0,0,1,0,0,1
128000000,0,59.71,13,178.0,240,1,77.37,24,3.0,1.0,0,1,0,0,1,0,0,1
79000000,0,67.97,9,359.0,576,6,86.63,576,3.0,1.0,0,1,0,0,1,0,0,1
2050000000,1,167.21,1,1452.0,660,23,168.53,40,4.0,2.0,1,0,0,1,0,0,0,1
105000000,1,44.5,13,681.0,1362,10,60.94,300,2.0,1.0,0,1,0,0,1,1,0,0
595000000,0,154.28,14,3287.0,1360,5,193.98,98,3.0,2.0,1,0,1,0,0,0,0,1
146400000,0,49.0658,7,118.0,144,3,68.87,103,1.0,1.0,0,1,0,0,1,0,0,1
157000000,0,134.78,11,561.0,691,4,151.3,142,4.0,2.0,0,1,0,0,1,0,0,1
242420000,0,70.3067,11,916.0,559,5,98.13,64,3.0,2.0,0,1,0,0,1,0,0,1
320000000,1,59.28,4,514.0,373,9,76.07,35,3.0,1.0,1,0,0,0,1,0,0,1
330000000,1,84.78,8,1188.0,1329,16,102.5,384,3.0,2.0,0,1,0,0,1,0,0,1
1250000000,1,121.48,3,937.0,496,9,151.55,50,4.0,2.0,0,1,0,0,1,0,0,1
84500000,0,42.75,4,236.0,713,7,62.72,357,2.0,1.0,0,1,0,0,1,0,0,1
500000000,1,82.4,7,166.0,210,3,110.22,117,3.0,2.0,0,1,0,0,1,1,0,0
440000000,1,84.63,16,320.0,306,5,104.76,50,3.0,2.0,0,1,0,0,1,0,0,1
387000000,1,59.76,7,545.0,466,6,72.82,112,3.0,1.0,0,1,0,0,1,0,0,1
475000000,1,84.73,5,527.0,480,8,109.18,289,3.0,2.0,0,1,0,0,1,0,0,1
359000000,1,79.27,6,130.0,118,2,100.98,47,3.0,2.0,0,1,0,0,1,0,0,1
1550000000,1,151.189,40,1999.0,1461,3,192.57,48,3.0,2.0,1,0,0,1,0,0,0,1
300000000,0,84.9402,1,865.0,800,7,107.83,243,3.0,2.0,0,1,0,0,1,0,0,1
286000000,1,59.18,4,1500.0,2029,23,70.13,76,2.0,1.0,1,0,0,1,0,1,0,0
174000000,0,59.8,22,3776.0,3382,35,78.1,200,3.0,1.0,0,1,0,0,1,0,0,1
560000000,1,114.99,21,1806.0,1497,25,145.43,82,4.0,2.0,0,1,0,0,1,0,0,1
254000000,0,84.975,5,808.0,710,9,107.58,292,3.0,2.0,0,1,0,0,1,0,0,1
168080000,0,84.6588,3,918.0,712,15,111.48,46,3.0,2.0,0,1,0,0,1,0,0,1
1000000000,1,81.23,7,240.0,208,2,113.02,119,3.0,2.0,0,1,0,1,0,0,0,1
460000000,1,59.912,3,2554.0,2462,31,85.25,370,3.0,1.0,0,1,0,0,1,0,0,1
180000000,0,59.4,22,1440.0,1780,16,80.71,857,3.0,1.0,0,1,0,0,1,0,0,1
490000000,1,84.734,1,677.0,603,11,113.71,12,3.0,2.0,0,1,0,0,1,0,0,1
275000000,1,49.6,12,1239.0,1676,21,69.32,1166,2.0,1.0,1,0,0,1,0,1,0,0
329000000,0,110.72,17,2277.0,1728,25,138.36,682,4.0,2.0,0,1,0,0,1,0,0,1
270000000,1,84.94,5,3481.0,2678,25,102.02,2254,3.0,2.0,0,1,0,0,1,0,0,1
1065000000,1,76.5,4,3930.0,3930,30,112.39,1170,3.0,1.0,1,0,0,1,0,1,0,0
250500000,1,59.98,14,176.0,181,1,82.15,101,3.0,1.0,0,1,0,0,1,1,0,0
390000000,1,59.65,9,196.0,171,4,75.64,51,3.0,1.0,0,1,0,0,1,0,0,1
320000000,0,101.92,12,1551.0,1124,21,132.21,216,3.0,2.0,0,1,0,0,1,0,0,1
470000000,1,114.99,1,2721.0,2002,25,159.02,23,4.0,2.0,0,1,0,0,1,0,0,1
558000000,1,57.01,6,654.0,768,10,80.27,66,2.0,1.0,0,1,0,0,1,1,0,0
96000000,0,59.87,22,451.0,260,2,78.9,130,3.0,1.0,0,1,1,0,0,1,0,0
396000000,1,84.65,22,341.0,236,3,112.59,156,3.0,2.0,0,1,0,0,1,0,0,1
130000000,1,70.62,4,4753.0,3169,30,97.67,780,2.0,1.0,0,1,0,0,1,1,0,0
314000000,1,84.95,4,856.0,745,9,107.01,186,3.0,2.0,0,1,0,0,1,0,0,1
153000000,0,49.98,2,1050.0,1721,16,67.35,170,3.0,1.0,1,0,0,1,0,0,0,1
428000000,1,114.89,9,169.0,142,1,144.08,35,4.0,2.0,1,0,0,1,0,0,0,1
157000000,0,84.51,4,335.0,335,4,112.4,213,3.0,2.0,0,1,0,0,1,0,0,1
65000000,0,42.29,9,536.0,1366,14,58.9,413,2.0,1.0,0,1,0,0,1,1,0,0
510000000,1,84.955,15,767.0,532,6,111.22,235,3.0,2.0,0,1,0,0,1,0,0,1
112500000,0,59.75,5,217.0,454,5,78.55,158,3.0,1.0,0,1,0,0,1,0,1,0
310000000,1,59.74,15,470.0,605,6,81.12,516,2.0,1.0,1,0,0,1,0,1,0,0
655000000,1,84.84700000000002,13,522.0,452,8,108.61,160,3.0,2.0,0,1,0,0,1,0,0,1
216000000,0,59.77,20,865.0,981,9,82.58,441,3.0,1.0,0,1,0,0,1,0,0,1
535000000,0,129.64,13,1915.0,987,13,161.17,64,4.0,2.0,0,1,0,0,1,0,1,0
239000000,0,84.9963,4,333.0,320,5,109.17,320,3.0,2.0,1,0,0,1,0,0,0,1
340000000,1,84.96,2,235.0,215,3,107.65,178,3.0,2.0,0,1,0,0,1,0,0,1
470000000,0,84.97,29,1009.0,564,4,113.47,130,3.0,2.0,0,1,0,0,1,0,0,1
200000000,1,59.95,11,128.0,105,1,80.02,37,3.0,1.0,0,1,0,0,1,1,0,0
205000000,1,59.78,11,1200.0,1234,15,75.41,378,2.0,1.0,0,1,0,0,1,1,0,0
157000000,1,33.18,11,1650.0,1650,12,47.2,486,2.0,1.0,1,0,0,1,0,1,0,0
87500000,0,59.92,6,561.0,885,5,78.02,693,2.0,1.0,0,1,0,0,1,0,0,1
164000000,1,39.92,3,1800.0,3481,25,54.99,149,3.0,1.0,1,0,0,1,0,1,0,0
965000000,1,84.99,23,7876.0,5563,65,110.3,350,3.0,2.0,1,0,0,1,0,0,0,1
610000000,1,84.97,25,3940.0,3003,25,109.57,280,3.0,2.0,0,1,0,0,1,0,1,0
284000000,1,66.96,15,763.0,763,8,92.96,523,3.0,1.0,1,0,0,1,0,1,0,0
588000000,1,114.88,3,4329.0,5150,42,139.94,954,4.0,2.0,0,1,0,0,1,0,0,1
335000000,1,84.9829,4,224.0,213,3,106.16,107,3.0,2.0,0,1,0,0,1,0,0,1
487000000,1,59.94,11,1974.0,1458,15,81.58,420,3.0,1.0,0,1,0,0,1,0,0,1
218000000,0,84.89,10,241.0,201,2,106.74,21,3.0,2.0,0,1,0,0,1,0,0,1
439000000,1,127.22,3,300.0,1320,12,146.81,270,4.0,2.0,0,1,1,0,0,0,0,1
260000000,1,59.95,12,1602.0,1253,15,87.96,84,3.0,1.0,0,1,0,0,1,1,0,0
650000000,1,59.9656,11,4580.0,3885,51,80.62,139,3.0,2.0,0,1,0,0,1,0,0,1
295000000,0,84.98,12,4515.0,2637,30,108.11,662,3.0,2.0,0,1,0,0,1,0,0,1
290000000,0,84.9934,8,125.0,113,3,106.48,109,3.0,2.0,0,1,0,0,1,0,0,1
430000000,1,59.83,4,226.0,196,3,80.89,17,3.0,1.0,0,1,0,0,1,0,0,1
2285000000,1,84.97,7,2545.0,1612,15,112.74,190,3.0,2.0,1,0,0,1,0,0,0,1
128500000,0,59.99,13,93.0,207,1,74.71,73,2.0,1.0,0,1,0,0,1,0,0,1
105000000,1,44.52,9,840.0,1200,4,58.34,330,3.0,1.0,1,0,0,1,0,1,0,0
495000000,1,50.03,1,2968.0,3710,33,66.24,1330,2.0,1.0,0,1,1,0,0,1,0,0
320000000,1,58.01,4,4471.0,2634,21,80.26,264,2.0,1.0,1,0,0,1,0,1,0,0
708000000,1,59.99,9,1216.0,949,12,82.92,225,3.0,2.0,0,1,0,0,1,0,0,1
305000000,1,46.75,10,981.0,1550,12,59.34,133,2.0,1.0,1,0,0,1,0,1,0,0
460000000,1,59.92,5,551.0,657,7,83.98,114,3.0,2.0,1,0,0,1,0,0,0,1
59500000,0,40.13,4,84.0,700,16,45.92,699,2.0,1.0,0,1,0,0,1,0,0,1
346000000,1,57.1,7,456.0,811,6,76.88,198,2.0,1.0,0,1,0,0,1,1,0,0
140000000,1,39.6,13,486.0,1624,10,56.91,626,2.0,1.0,1,0,0,1,0,1,0,0
235000000,1,71.83,3,432.0,864,7,76.83,456,2.0,1.0,0,1,0,0,1,1,0,0
333000000,1,60.502,10,505.0,494,5,78.88,100,3.0,2.0,1,0,0,1,0,0,0,1
383000000,1,71.68,12,300.0,1320,12,87.42,165,2.0,1.0,0,1,1,0,0,0,0,1
308000000,1,50.54,4,2968.0,3710,33,71.83,1120,3.0,1.0,0,1,1,0,0,1,0,0
142000000,0,59.91,4,338.0,322,2,80.53,118,3.0,1.0,0,1,0,0,1,0,0,1
117000000,0,56.94,18,109.0,299,2,73.86,105,2.0,1.0,0,1,0,0,1,1,0,0
1150000000,1,72.51,1,4026.0,3590,99,72.73,1490,3.0,1.0,0,1,1,0,0,0,0,1
75000000,0,58.01,9,2716.0,2716,20,80.26,352,2.0,1.0,0,1,1,0,0,1,0,0
199500000,1,39.6,10,522.0,1372,6,52.96,520,2.0,1.0,1,0,0,1,0,1,0,0
1750000000,1,108.89,6,1164.0,1140,15,117.59,308,4.0,1.0,1,0,0,1,0,1,0,0
342000000,0,124.47,4,857.0,375,14,152.13,80,4.0,2.0,1,0,0,1,0,0,0,1
418500000,0,84.9468,10,910.0,684,7,113.25,384,3.0,2.0,0,1,0,0,1,0,0,1
282000000,1,84.97,6,449.0,704,5,100.18,704,3.0,2.0,0,1,0,0,1,0,0,1
475000000,0,114.92,2,1992.0,1680,19,138.7,400,4.0,2.0,0,1,0,0,1,0,0,1
630000000,0,174.107,36,5755.0,3000,15,231.27,389,4.0,2.0,0,1,0,0,1,0,0,1
245000000,0,84.99,17,3776.0,3382,35,104.76,500,3.0,2.0,0,1,0,0,1,0,0,1
178000000,0,84.9341,7,330.0,298,3,120.2,198,3.0,2.0,0,1,0,0,1,0,0,1
400000000,1,84.98299999999998,3,635.0,620,22,109.83,60,3.0,2.0,0,1,0,0,1,0,0,1
84000000,0,59.91,13,844.0,851,13,81.9,395,3.0,1.0,0,1,0,0,1,1,0,0
967840000,1,147.3212,27,385.0,295,2,192.23,18,5.0,2.0,0,1,0,0,1,0,0,1
167000000,0,84.99,15,606.0,977,8,102.24,535,3.0,2.0,0,1,0,0,1,0,0,1
310000000,1,84.52799999999998,2,372.0,320,3,102.76,84,3.0,2.0,0,1,0,0,1,0,0,1
960000000,1,84.99,6,7876.0,5563,65,109.2,1201,3.0,2.0,1,0,0,1,0,0,0,1
650000000,1,84.88,18,4329.0,5150,42,106.63,1298,3.0,2.0,0,1,0,0,1,0,0,1
165000000,1,40.02,12,2450.0,2462,16,56.2,143,2.0,1.0,0,1,0,1,0,1,0,0
522000000,1,84.73,10,527.0,480,8,109.18,289,3.0,2.0,0,1,0,0,1,0,0,1
710000000,1,59.981,2,886.0,1432,21,87.57,96,3.0,2.0,1,0,0,1,0,0,0,1
830000000,1,59.98,11,6075.0,3410,44,84.74,284,3.0,2.0,1,0,0,1,0,0,0,1
2000000000,1,84.81,9,828.0,690,9,102.48,210,3.0,1.0,0,1,1,0,0,0,0,1
129000000,0,59.83,3,178.0,220,1,80.28,88,3.0,1.0,0,1,0,0,1,0,0,1
350000000,0,124.47,3,857.0,375,14,152.13,80,4.0,2.0,1,0,0,1,0,0,0,1
70000000,0,82.08,2,143.0,298,3,100.53,72,3.0,1.0,0,1,0,0,1,0,0,1
105000000,0,59.9,9,147.0,138,1,80.62,72,3.0,1.0,0,1,0,0,1,1,0,0
747500000,1,84.9,32,9766.0,6864,66,109.62,1978,3.0,2.0,1,0,0,1,0,0,0,1
622000000,1,114.99,12,244.0,196,4,140.73,30,4.0,2.0,0,1,0,0,1,0,0,1
208000000,1,59.58,1,4932.0,4509,31,81.7,684,2.0,1.0,0,1,1,0,0,1,0,0
1255000000,1,136.325,4,4494.0,4494,56,158.84,1416,4.0,2.0,1,0,0,1,0,0,0,1
635000000,1,79.42,1,3300.0,1572,13,85.52,288,3.0,1.0,1,0,0,1,0,1,0,0
525000000,0,150.13,15,1306.0,1306,15,183.99,157,4.0,2.0,0,1,0,0,1,0,0,1
166000000,0,84.52,7,99.0,173,2,102.74,173,3.0,2.0,0,1,0,0,1,0,0,1
520000000,1,83.87100000000002,9,475.0,447,8,103.05,106,3.0,2.0,0,1,0,0,1,0,0,1
224000000,1,84.77,2,401.0,172,2,111.79,172,3.0,2.0,0,1,0,0,1,0,0,1
113000000,0,59.73,16,970.0,874,10,77.24,244,2.0,1.0,0,1,0,0,1,0,0,1
398000000,1,59.92,26,1344.0,1012,15,82.57,56,3.0,2.0,0,1,0,0,1,0,0,1
233000000,0,80.2373,13,1265.0,1090,10,102.76,248,3.0,2.0,0,1,0,0,1,0,0,1
250000000,1,58.59,15,2561.0,2134,26,76.39,0,2.0,1.0,0,1,0,0,1,1,0,0
168000000,0,59.6715,4,1858.0,1828,17,80.5,481,3.0,2.0,0,1,0,0,1,0,0,1
550000000,1,70.73,10,1625.0,2280,33,89.26,780,2.0,1.0,1,0,0,1,0,1,0,0
560000000,1,115.65,4,1353.0,960,17,137.88,888,4.0,2.0,0,1,1,0,0,0,0,1
250000000,1,49.72,4,315.0,696,6,70.89,696,3.0,1.0,1,0,0,1,0,1,0,0
270500000,0,84.96,19,1109.0,1094,9,105.92,400,3.0,2.0,0,1,0,0,1,0,0,1
485000000,1,82.94,1,3012.0,2938,16,113.5,434,3.0,2.0,0,1,0,0,1,0,0,1
730000000,1,59.4,12,1066.0,1050,12,80.66,440,3.0,2.0,1,0,0,1,0,0,0,1
300000000,0,84.9819,7,1449.0,1256,16,109.81,237,3.0,2.0,0,1,0,0,1,0,0,1
325000000,1,27.68,12,7876.0,5563,65,42.28,124,1.0,1.0,1,0,0,1,0,0,0,1
2400000000,1,124.02,19,1249.0,460,3,165.73,254,4.0,2.0,1,0,0,1,0,0,0,1
200000000,1,49.94,4,2000.0,2654,27,70.52,540,2.0,1.0,1,0,0,1,0,1,0,0
190000000,1,59.97,11,2195.0,1998,25,80.48,690,3.0,1.0,0,1,0,0,1,0,0,1
262500000,0,83.6,17,679.0,679,11,105.25,137,3.0,2.0,1,0,0,1,0,0,0,1
365000000,0,102.6738,14,340.0,294,2,131.93,98,4.0,2.0,0,1,0,0,1,0,0,1
307000000,0,116.25,5,1548.0,1358,19,140.69,80,4.0,2.0,1,0,0,1,0,0,0,1
128000000,0,84.7,6,220.0,315,1,103.14,120,3.0,1.0,0,1,0,0,1,1,0,0
313000000,0,101.67,4,2919.0,2290,20,136.89,75,3.0,2.0,0,1,0,0,1,0,0,1
619500000,1,126.66,12,855.0,855,10,147.53,150,4.0,2.0,0,1,1,0,0,0,0,1
231000000,1,44.64,14,774.0,1285,10,66.12,801,3.0,1.0,0,1,1,0,0,1,0,0
87500000,0,84.93,13,536.0,536,3,105.87,400,3.0,2.0,0,1,0,0,1,0,0,1
375000000,1,59.91,12,325.0,322,4,77.35,133,3.0,1.0,0,1,0,0,1,1,0,0
499000000,1,84.87,11,576.0,473,7,110.78,62,3.0,2.0,1,0,0,1,0,0,0,1
109000000,1,49.77,12,2450.0,2462,16,72.73,1268,3.0,1.0,0,1,0,1,0,1,0,0
803000000,1,76.79,6,5000.0,4424,28,101.52,13,3.0,1.0,1,0,0,1,0,1,0,0
539000000,1,84.34,3,413.0,412,5,109.27,148,3.0,2.0,1,0,0,1,0,0,0,1
165000000,0,59.67,11,1282.0,1166,10,79.28,400,2.0,1.0,0,1,0,0,1,0,0,1
575000000,1,65.25,13,1306.0,1640,37,84.22,180,2.0,1.0,1,0,0,1,0,1,0,0
